utterance_id,wav_path,session_id,dialog_id,dialog_type,speaker_id,speaker_gender,gender,emotion_label,layer,norm
Ses01F_script01_1_F000,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F000.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,0,4.963781833648682
Ses01F_script01_1_F000,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F000.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,6,3.9086101055145264
Ses01F_script01_1_F000,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F000.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,12,7.1228156089782715
Ses01F_script01_1_F002,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F002.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,sur,0,3.652250051498413
Ses01F_script01_1_F002,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F002.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,sur,6,3.0938453674316406
Ses01F_script01_1_F002,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F002.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,sur,12,6.3988447189331055
Ses01F_script01_1_F005,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F005.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,neu,0,4.944949626922607
Ses01F_script01_1_F005,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F005.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,neu,6,3.6828391551971436
Ses01F_script01_1_F005,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F005.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,neu,12,6.705880641937256
Ses01F_script01_1_F009,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F009.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,0,4.7940192222595215
Ses01F_script01_1_F009,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F009.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,6,3.507066011428833
Ses01F_script01_1_F009,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F009.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,12,7.035270690917969
Ses01F_script01_1_F010,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F010.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,0,3.749582052230835
Ses01F_script01_1_F010,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F010.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,6,2.568749189376831
Ses01F_script01_1_F010,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F010.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,12,4.719135284423828
Ses01F_script01_1_F011,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F011.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,0,3.4983201026916504
Ses01F_script01_1_F011,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F011.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,6,2.935138702392578
Ses01F_script01_1_F011,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F011.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,12,6.525376319885254
Ses01F_script01_1_F012,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F012.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,0,3.000040054321289
Ses01F_script01_1_F012,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F012.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,6,2.587859869003296
Ses01F_script01_1_F012,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F012.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,12,6.410614967346191
Ses01F_script01_1_F014,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F014.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,0,5.214191436767578
Ses01F_script01_1_F014,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F014.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,6,4.665186882019043
Ses01F_script01_1_F014,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F014.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,12,9.501258850097656
Ses01F_script01_1_F015,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F015.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,neu,0,4.044510364532471
Ses01F_script01_1_F015,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F015.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,neu,6,2.895148992538452
Ses01F_script01_1_F015,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F015.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,neu,12,7.188421249389648
Ses01F_script01_1_F021,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F021.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,0,2.625396966934204
Ses01F_script01_1_F021,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F021.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,6,2.565463066101074
Ses01F_script01_1_F021,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F021.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,12,6.289323806762695
Ses01F_script01_1_F022,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F022.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,0,2.5561001300811768
Ses01F_script01_1_F022,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F022.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,6,2.446594476699829
Ses01F_script01_1_F022,/home/takamichi-lab-pc07/research/music_foundation_analysis/data/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_F022.wav,Session1,Ses01F_script01_1,script,Session1_F,F,female,fru,12,5.56602668762207
